obs,low        (fiat),high      (fiat),open      (fiat),close     (fiat),vol      (fiat),trade_vol  (fiat),low (crypto),high (crypto),open (crypto),close (crypto),vol (crypto),trade_vol (crypto),
56,47.513,53.49,51.148,49.982,7263.719703,363055.2382,0.0069824,0.00747617,0.007363,0.0069824,1913.799054,13.36291052,
57,49.53,51.818,49.716,50.319,4363.562529,219570.1029,0.00693954,0.00720423,0.0069824,0.0070353,1637.296109,11.51886931,
58,48.001,52.935,50.487,50.431,5213.22207,262908.0022,0.00665071,0.00707183,0.00704517,0.0067155,1250.298146,8.396377196,
59,49.387,54.948,50.432,52.404,5691.686579,298267.1435,0.0066158,0.00721031,0.00671309,0.00704402,2338.044562,16.46923266,
60,52.577,59.362,53,56.979,8434.221483,480573.5059,0.00707968,0.00762,0.00707968,0.007346,1461.030305,10.73272862,
61,54.478,58.2,57.009,55.182,3790.190984,209150.3189,0.00720193,0.00746398,0.00735192,0.00728028,429.8617101,3.129513611,
62,51.639,55.175,55.175,53.261,4763.188986,253692.2086,0.00716,0.00735374,0.00727623,0.00716316,904.4217898,6.478517988,
63,51.528,54.158,53.308,51.834,2818.01534,146069.0071,0.00705001,0.00729999,0.00715861,0.00705653,519.5336173,3.666104556,
64,50.639,52.319,51.701,51.24,2286.643646,117167.6204,0.00697857,0.0072981,0.00705522,0.00702333,907.2556803,6.371956037,
65,49.5,52.999,51.24,50.22,5029.951464,252604.1625,0.00680169,0.00704922,0.00702333,0.00699371,542.9688419,3.79736662,
66,47.027,51.641,50.249,49.984,44968.18332,2247689.675,0.00647821,0.00700449,0.00699371,0.00675022,10588.15132,71.47235077,
67,49.511,53,50,52.696,9077.903426,478369.199,0.00673784,0.007127,0.00673784,0.00696795,1246.845139,8.687954586,
68,51.668,56,52.889,52.648,3673.353578,193394.7192,0.00685882,0.00704533,0.00698118,0.00695225,986.673637,6.859601793,
69,51.61,52.726,52.576,52.014,1944.18506,101124.8417,0.00682344,0.00702403,0.00700602,0.00689812,388.5516171,2.680275681,
70,50.388,53.1,52.014,51.109,6324.878943,323258.2379,0.00682243,0.00704374,0.00689812,0.006955,300.5866581,2.090580207,
71,49.405,51.742,51.096,50.033,2006.53252,100392.8416,0.00683803,0.00701112,0.00696814,0.00687513,557.0615228,3.829870387,
72,49.227,50.849,50.115,50.066,1361.594189,68169.57467,0.00685509,0.00698127,0.00690332,0.00690103,387.8659711,2.676674702,
73,48.57,50.499,50.066,49.871,2504.180706,124885.996,0.00682069,0.00701509,0.00688034,0.00690636,568.0950656,3.923469037,
74,49.549,51.309,49.948,50.888,2100.902076,106910.7048,0.00688908,0.00703306,0.00693458,0.00700558,532.5965119,3.731147472,
75,49.002,51.321,50.888,49.594,1328.273874,65874.4145,0.00693388,0.00705788,0.00698583,0.00699175,226.3253313,1.582410135,
76,48.891,51.228,49.599,50.809,1292.670887,65679.31508,0.0069375,0.00717807,0.00699348,0.00711669,384.8724194,2.739017698,
77,45,50.816,50.762,45.953,4780.135825,219661.5816,0.00657722,0.00713781,0.0071167,0.00665924,1734.449973,11.55011864,
78,40.752,46.091,45.96,41.294,6738.610795,278264.1942,0.0061759,0.00667869,0.00665924,0.00620924,1844.695447,11.45415676,
79,40.002,48.59,41.206,44.4,6822.211693,302906.1992,0.00607682,0.00645158,0.00622042,0.006092,967.1045913,5.89160117,
80,42.149,44.985,44.502,42.995,4640.741369,199528.6752,0.00596335,0.00611934,0.00610021,0.0059934,629.2045208,3.771074375,
81,41.948,43.771,42.85,43.376,3107.789221,134803.4652,0.0059312,0.00605973,0.00599,0.00603013,324.7894807,1.958522791,
